epoch,loss,val_acc
1,2.385067939758301,0.1523096114397049
2,2.2731380462646484,0.2509363293647766
3,2.1863980293273926,0.3121098577976227
4,2.1197752952575684,0.299209326505661
5,2.069514274597168,0.299209326505661
6,2.0333118438720703,0.299209326505661
7,2.0088720321655273,0.299209326505661
8,1.9927232265472412,0.299209326505661
9,1.9806121587753296,0.299209326505661
10,1.9688771963119507,0.299209326505661
11,1.9554237127304077,0.299209326505661
12,1.9397480487823486,0.2996254563331604
